dataset,epsilon,leakage,utility,mask_size
airport,10,0.03592524660768637,-0.3333333333333333,2
airport,10,0.05010955345870127,-0.5,3
airport,10,0.03592524660768637,-0.3333333333333333,2
airport,10,0.22337399647872114,-0.3333333333333333,2
airport,10,0.03592524660768637,-0.16666666666666666,1
airport,10,0.22337399647872114,-0.3333333333333333,2
airport,10,0.003609042830710618,-0.8333333333333334,5
airport,10,0.03592524660768637,-0.6666666666666666,4
airport,10,0.22337399647872114,-0.3333333333333333,2
airport,10,0.03592524660768637,-0.5,3
airport,10,0.05010955345870127,-0.3333333333333333,2
airport,10,0.22337399647872114,-0.3333333333333333,2
airport,10,0.06016840572859605,-0.6666666666666666,4
airport,10,0.0,-0.8333333333333334,5
airport,10,0.03592524660768637,-0.3333333333333333,2
airport,10,0.013132038880604324,-0.3333333333333333,2
airport,10,0.22337399647872114,-0.16666666666666666,1
airport,10,0.011469181810646378,-0.5,3
airport,10,0.013132038880604324,-0.3333333333333333,2
airport,10,0.0,-1.0,6
airport,10,0.22337399647872114,-0.16666666666666666,1
airport,10,0.05853885744745513,-0.6666666666666666,4
airport,10,0.015768127809462573,-0.8333333333333334,5
airport,10,0.051126318247808444,-0.5,3
airport,10,0.008222647309668152,-0.6666666666666666,4
airport,10,0.013132038880604324,-0.5,3
airport,10,0.05010955345870127,-0.3333333333333333,2
airport,10,0.03592524660768637,-0.5,3
airport,10,0.03592524660768637,-0.5,3
airport,10,0.009414806213275395,-0.5,3
airport,10,0.03592524660768637,-0.5,3
airport,10,0.003609042830710618,-0.8333333333333334,5
airport,10,0.011469181810646378,-0.5,3
airport,10,0.05853885744745513,-0.5,3
airport,10,0.013132038880604324,-0.3333333333333333,2
airport,10,0.03592524660768637,-0.3333333333333333,2
airport,10,0.013132038880604324,-0.3333333333333333,2
airport,10,0.051126318247808444,-0.5,3
airport,10,0.013132038880604324,-0.3333333333333333,2
airport,10,0.22337399647872114,-0.3333333333333333,2
airport,10,0.003609042830710618,-0.8333333333333334,5
airport,10,0.22337399647872114,-0.0,0
airport,10,0.22337399647872114,-0.5,3
airport,10,0.003306804705818678,-0.8333333333333334,5
airport,10,0.051126318247808444,-0.6666666666666666,4
airport,10,0.051126318247808444,-0.6666666666666666,4
airport,10,0.03592524660768637,-0.5,3
airport,10,0.05853885744745513,-0.6666666666666666,4
airport,10,0.051126318247808444,-0.6666666666666666,4
airport,10,0.03592524660768637,-0.3333333333333333,2
airport,10,0.03592524660768637,-0.5,3
airport,10,0.03592524660768637,-0.16666666666666666,1
airport,10,0.03592524660768637,-0.3333333333333333,2
airport,10,0.05010955345870127,-0.5,3
airport,10,0.05010955345870127,-0.3333333333333333,2
airport,10,0.03592524660768637,-0.3333333333333333,2
airport,10,0.011469181810646378,-0.5,3
airport,10,0.0,-1.0,6
airport,10,0.03592524660768637,-0.5,3
airport,10,0.051126318247808444,-0.5,3
airport,10,0.051126318247808444,-0.5,3
airport,10,0.004612425044516089,-0.6666666666666666,4
airport,10,0.008222647309668152,-0.6666666666666666,4
airport,10,0.22337399647872114,-0.16666666666666666,1
airport,10,0.009414806213275395,-0.6666666666666666,4
airport,10,0.03592524660768637,-0.5,3
airport,10,0.0,-1.0,6
airport,10,0.03592524660768637,-0.3333333333333333,2
airport,10,0.22337399647872114,-0.16666666666666666,1
airport,10,0.22337399647872114,-0.5,3
airport,10,0.06016840572859605,-0.6666666666666666,4
airport,10,0.22337399647872114,-0.5,3
airport,10,0.03592524660768637,-0.5,3
airport,10,0.0008907266304110095,-0.8333333333333334,5
airport,10,0.22337399647872114,-0.16666666666666666,1
airport,10,0.06016840572859605,-0.6666666666666666,4
airport,10,0.013132038880604324,-0.6666666666666666,4
airport,10,0.22337399647872114,-0.6666666666666666,4
airport,10,0.05010955345870127,-0.6666666666666666,4
airport,10,0.22337399647872114,-0.5,3
airport,10,0.22337399647872114,-0.5,3
airport,10,0.03592524660768637,-0.3333333333333333,2
airport,10,0.003306804705818678,-0.8333333333333334,5
airport,10,0.009414806213275395,-0.6666666666666666,4
airport,10,0.05010955345870127,-0.5,3
airport,10,0.003306804705818678,-0.8333333333333334,5
airport,10,0.03592524660768637,-0.3333333333333333,2
airport,10,0.03592524660768637,-0.16666666666666666,1
airport,10,0.06016840572859605,-0.6666666666666666,4
airport,10,0.22337399647872114,-0.6666666666666666,4
airport,10,0.05010955345870127,-0.5,3
airport,10,0.003306804705818678,-0.8333333333333334,5
airport,10,0.0,-1.0,6
airport,10,0.22337399647872114,-0.3333333333333333,2
airport,10,0.05010955345870127,-0.5,3
airport,10,0.22337399647872114,-0.3333333333333333,2
airport,10,0.22337399647872114,-0.3333333333333333,2
airport,10,0.05010955345870127,-0.5,3
airport,10,0.22337399647872114,-0.3333333333333333,2
airport,10,0.03592524660768637,-0.3333333333333333,2
hospital,10,0.24175913958548945,-0.4,4
hospital,10,0.5053837288882768,-100.5,5
hospital,10,0.21940735109689347,-0.8,8
hospital,10,0.6005002201919581,-100.4,4
hospital,10,0.385599188513301,-100.7,7
hospital,10,0.6005002201919581,-100.4,4
hospital,10,0.5468475106079831,-100.5,5
hospital,10,0.6623992294064142,-100.3,3
hospital,10,0.24175913958548945,-0.4,4
hospital,10,0.6090400455538584,-100.5,5
hospital,10,0.6090400455538584,-100.5,5
hospital,10,0.6623992294064142,-100.4,4
hospital,10,0.385599188513301,-100.8,8
hospital,10,0.385599188513301,-100.7,7
hospital,10,0.21940735109689347,-0.5,5
hospital,10,0.21940735109689347,-0.9,9
hospital,10,0.26303652729247295,-0.5,5
hospital,10,0.6005002201919581,-100.3,3
hospital,10,0.41469597047666695,-100.6,6
hospital,10,0.5626500316767806,-100.3,3
hospital,10,0.5053837288882768,-100.4,4
hospital,10,0.5069645614182471,-100.5,5
hospital,10,0.3166049127277152,-100.7,7
hospital,10,0.44440927545847886,-100.5,5
hospital,10,0.46992211475481305,-100.4,4
hospital,10,0.26303652729247295,-0.4,4
hospital,10,0.5206608604337979,-100.6,6
hospital,10,0.6090400455538584,-100.6,6
hospital,10,0.21945273335876703,-0.5,5
hospital,10,0.24315756576632586,-0.7,7
hospital,10,0.5626500316767806,-100.6,6
hospital,10,0.6623992294064142,-100.2,2
hospital,10,0.5053837288882768,-100.2,2
hospital,10,0.5206608604337979,-100.7,7
hospital,10,0.26303652729247295,-0.4,4
hospital,10,0.46992211475481305,-100.6,6
hospital,10,0.6090400455538584,-100.4,4
hospital,10,0.6623992294064142,-100.1,1
hospital,10,0.26303652729247295,-0.5,5
hospital,10,0.46992211475481305,-100.5,5
hospital,10,0.4824620342632009,-100.7,7
hospital,10,0.5053837288882768,-100.4,4
hospital,10,0.385599188513301,-100.7,7
hospital,10,0.2629936790618288,-0.6,6
hospital,10,0.3592419527878562,-100.8,8
hospital,10,0.385599188513301,-100.5,5
hospital,10,0.3592419527878562,-100.6,6
hospital,10,0.4824620342632009,-100.4,4
hospital,10,0.3592419527878562,-100.5,5
hospital,10,0.41469597047666695,-100.4,4
hospital,10,0.6090400455538584,-100.2,2
hospital,10,0.5468475106079831,-100.5,5
hospital,10,0.6090400455538584,-100.4,4
hospital,10,0.6623992294064142,-100.4,4
hospital,10,0.24175913958548945,-0.6,6
hospital,10,0.5069358955522029,-100.4,4
hospital,10,0.3592419527878562,-100.4,4
hospital,10,0.5053837288882768,-100.6,6
hospital,10,0.4824620342632009,-100.7,7
hospital,10,0.24175913958548945,-0.6,6
hospital,10,0.5069645614182471,-100.5,5
hospital,10,0.5053837288882768,-100.3,3
hospital,10,0.5626500316767806,-100.3,3
hospital,10,0.6005002201919581,-100.2,2
hospital,10,0.24175913958548945,-0.8,8
hospital,10,0.6005002201919581,-100.3,3
hospital,10,0.5206608604337979,-100.5,5
hospital,10,0.21945273335876703,-0.5,5
hospital,10,0.2629936790618288,-0.7,7
hospital,10,0.46992211475481305,-100.5,5
hospital,10,0.6623992294064142,-100.4,4
hospital,10,0.4824620342632009,-100.6,6
hospital,10,0.3592419527878562,-100.4,4
hospital,10,0.24315756576632586,-0.7,7
hospital,10,0.6090400455538584,-100.4,4
