lambda,leakage,utility,mask_size
0.05,0.0,-0.0006958432521516206,12
0.05,0.0,-0.0005798693767930171,10
0.05,1.0,-0.05040590856375511,7
0.05,1.0,-0.05040590856375511,7
0.05,1.0,-0.05052188243911372,9
0.05,0.0,-0.0005218824391137154,9
0.05,0.0,-0.0006958432521516206,12
0.05,0.0,-0.0004638955014344137,8
0.05,1.0,-0.05040590856375511,7
0.05,0.0,-0.0005218824391137154,9
0.05,1.0,-0.05034792162607581,6
0.05,1.0,-0.050463895501434416,8
0.05,1.0,-0.05040590856375511,7
0.05,1.0,-0.050463895501434416,8
0.05,1.0,-0.05034792162607581,6
0.05,1.0,-0.05052188243911372,9
0.05,1.0,-0.05034792162607581,6
0.05,1.0,-0.05034792162607581,6
0.05,0.0,-0.0006378563144723189,11
0.05,1.0,-0.05040590856375511,7
0.05,1.0,-0.050463895501434416,8
0.05,1.0,-0.05040590856375511,7
0.05,1.0,-0.05040590856375511,7
0.05,1.0,-0.05040590856375511,7
0.05,1.0,-0.050289934688396515,5
0.05,1.0,-0.05040590856375511,7
0.05,1.0,-0.05052188243911372,9
0.05,0.0,-0.0005218824391137154,9
0.05,1.0,-0.05052188243911372,9
0.05,1.0,-0.05023194775071721,4
0.05,1.0,-0.050463895501434416,8
0.05,1.0,-0.05040590856375511,7
0.05,1.0,-0.05040590856375511,7
0.05,0.0,-0.0004638955014344137,8
0.05,1.0,-0.05057986937679302,10
0.05,1.0,-0.05040590856375511,7
0.05,1.0,-0.050463895501434416,8
0.05,0.0,-0.0003479216260758103,6
0.05,1.0,-0.050289934688396515,5
0.05,1.0,-0.050289934688396515,5
0.05,0.0,-0.0005798693767930171,10
0.05,1.0,-0.05040590856375511,7
0.05,1.0,-0.05052188243911372,9
0.05,1.0,-0.05040590856375511,7
0.05,1.0,-0.05040590856375511,7
0.05,1.0,-0.05023194775071721,4
0.05,1.0,-0.05040590856375511,7
0.05,1.0,-0.050463895501434416,8
0.05,1.0,-0.050289934688396515,5
0.05,0.0,-0.0005218824391137154,9
0.05,1.0,-0.05052188243911372,9
0.05,1.0,-0.05052188243911372,9
0.05,1.0,-0.05023194775071721,4
0.05,1.0,-0.05040590856375511,7
0.05,1.0,-0.050289934688396515,5
0.05,1.0,-0.050289934688396515,5
0.05,0.0,-0.0006378563144723189,11
0.05,1.0,-0.05023194775071721,4
0.05,1.0,-0.05034792162607581,6
0.05,1.0,-0.05040590856375511,7
0.05,1.0,-0.050463895501434416,8
0.05,0.0,-0.0005218824391137154,9
0.05,1.0,-0.05034792162607581,6
0.05,0.0,-0.000405908563755112,7
0.05,1.0,-0.05034792162607581,6
0.05,1.0,-0.050463895501434416,8
0.05,1.0,-0.050289934688396515,5
0.05,1.0,-0.050463895501434416,8
0.05,1.0,-0.05034792162607581,6
0.05,1.0,-0.05034792162607581,6
0.05,0.0,-0.0005218824391137154,9
0.05,1.0,-0.05040590856375511,7
0.05,1.0,-0.05052188243911372,9
0.05,1.0,-0.05023194775071721,4
0.05,1.0,-0.050463895501434416,8
0.05,1.0,-0.050289934688396515,5
0.05,1.0,-0.05034792162607581,6
0.05,1.0,-0.05040590856375511,7
0.05,1.0,-0.050289934688396515,5
0.05,1.0,-0.05034792162607581,6
0.05,1.0,-0.050289934688396515,5
0.05,1.0,-0.05023194775071721,4
0.05,1.0,-0.050463895501434416,8
0.05,1.0,-0.05040590856375511,7
0.05,1.0,-0.05034792162607581,6
0.05,0.0,-0.0004638955014344137,8
0.05,0.0,-0.0005798693767930171,10
0.05,1.0,-0.050463895501434416,8
0.05,1.0,-0.05057986937679302,10
0.05,0.0,-0.0005798693767930171,10
0.05,0.0,-0.000405908563755112,7
0.05,0.0,-0.0005218824391137154,9
0.05,0.0,-0.000405908563755112,7
0.05,1.0,-0.05040590856375511,7
0.05,1.0,-0.05034792162607581,6
0.05,1.0,-0.05040590856375511,7
0.05,1.0,-0.05023194775071721,4
0.05,1.0,-0.050463895501434416,8
0.05,1.0,-0.050289934688396515,5
0.05,0.0,-0.0005218824391137154,9
0.05,1.0,-0.053248656570591114,7
0.05,1.0,-0.050928187591597465,2
0.05,1.0,-0.05371275036638984,8
0.05,1.0,-0.0546409379579873,10
0.05,1.0,-0.05232046897899365,5
0.05,1.0,-0.05371275036638984,8
0.05,1.0,-0.05232046897899365,5
0.05,1.0,-0.05371275036638984,8
0.05,1.0,-0.05232046897899365,5
0.05,1.0,-0.053248656570591114,7
0.05,1.0,-0.05139228138739619,3
0.05,1.0,-0.05232046897899365,5
0.05,1.0,-0.05232046897899365,5
0.05,1.0,-0.05278456277479238,6
0.05,1.0,-0.05232046897899365,5
0.05,1.0,-0.05278456277479238,6
0.05,1.0,-0.05278456277479238,6
0.05,1.0,-0.05278456277479238,6
0.05,1.0,-0.050928187591597465,2
0.05,1.0,-0.053248656570591114,7
0.05,1.0,-0.05185637518319492,4
0.05,1.0,-0.05185637518319492,4
0.05,1.0,-0.053248656570591114,7
0.05,1.0,-0.05139228138739619,3
0.05,1.0,-0.05278456277479238,6
0.05,1.0,-0.05278456277479238,6
0.05,1.0,-0.050928187591597465,2
0.05,1.0,-0.05232046897899365,5
0.05,1.0,-0.05232046897899365,5
0.05,1.0,-0.05185637518319492,4
0.05,1.0,-0.05278456277479238,6
0.05,1.0,-0.05185637518319492,4
0.05,1.0,-0.05232046897899365,5
0.05,1.0,-0.05278456277479238,6
0.05,1.0,-0.05232046897899365,5
0.05,1.0,-0.05417684416218857,9
0.05,1.0,-0.05278456277479238,6
0.05,1.0,-0.05278456277479238,6
0.05,1.0,-0.05278456277479238,6
0.05,1.0,-0.05278456277479238,6
0.05,1.0,-0.05417684416218857,9
0.05,1.0,-0.05232046897899365,5
0.05,1.0,-0.05232046897899365,5
0.05,1.0,-0.05371275036638984,8
0.05,1.0,-0.05278456277479238,6
0.05,1.0,-0.05371275036638984,8
0.05,1.0,-0.05139228138739619,3
0.05,1.0,-0.05185637518319492,4
0.05,1.0,-0.05185637518319492,4
0.05,1.0,-0.05278456277479238,6
0.05,1.0,-0.05139228138739619,3
0.05,1.0,-0.05232046897899365,5
0.05,1.0,-0.05371275036638984,8
0.05,1.0,-0.05278456277479238,6
0.05,1.0,-0.05278456277479238,6
0.05,1.0,-0.053248656570591114,7
0.05,1.0,-0.05232046897899365,5
0.05,1.0,-0.05278456277479238,6
0.05,1.0,-0.05232046897899365,5
0.05,1.0,-0.05278456277479238,6
0.05,1.0,-0.05185637518319492,4
