dataset,target_attr,tau,rho,zone_size,num_edges_after_tau,mask,mask_size,leakage,active_edges,blocked_edges,num_chains,active_chains,blocked_chains,max_chain_weight,sum_chain_weight,chains,chain_weights
airport,iso_country,0.1,0.9,11,9,"{continent,iata_code,wikipedia_link}",3,0.1507991094099438,5,4,3,3,0,0.0713128038897893,0.1587256624533771,"[['e1'],['e3'],['e4']]","[0.07131280389,0.053053053053,0.034359805511]"
airport,iso_country,0.1,0.9,11,9,"{continent,keywords,local_code}",3,0.23099870911155784,6,3,5,5,0,0.0732925586136595,0.254887915438374,"[['e0'],['e2'],['e3'],['e5'],['e6']]","[0.073292558614,0.071003307607,0.053053053053,0.028996692393,0.028542303772]"
airport,iso_country,0.1,0.9,11,9,"{continent,keywords,municipality}",3,0.23099870911155784,6,3,5,5,0,0.0732925586136595,0.254887915438374,"[['e0'],['e2'],['e3'],['e5'],['e6']]","[0.073292558614,0.071003307607,0.053053053053,0.028996692393,0.028542303772]"
airport,iso_country,0.1,0.9,11,9,"{continent,keywords,scheduled_service}",3,0.23099870911155784,6,3,5,5,0,0.0732925586136595,0.254887915438374,"[['e0'],['e2'],['e3'],['e5'],['e6']]","[0.073292558614,0.071003307607,0.053053053053,0.028996692393,0.028542303772]"
airport,iso_country,0.1,0.9,11,9,"{continent,keywords,type}",3,0.10675570582422578,3,6,3,3,0,0.053053053053053,0.1105920492172173,"[['e3'],['e5'],['e6']]","[0.053053053053,0.028996692393,0.028542303772]"
airport,iso_country,0.1,0.9,11,9,"{continent,keywords,wikipedia_link}",3,0.1457981155437541,4,5,3,3,0,0.0710033076074972,0.15305305305305292,"[['e2'],['e3'],['e5']]","[0.071003307607,0.053053053053,0.028996692393]"
airport,iso_country,0.1,0.9,11,9,"{continent,local_code,municipality}",3,0.3103768028474837,9,0,7,7,0,0.0732925586136595,0.3605605248386981,"[['e0'],['e1'],['e2'],['e3'],['e4'],['e5'],['e6']]","[0.073292558614,0.07131280389,0.071003307607,0.053053053053,0.034359805511,0.028996692393,0.028542303772]"
airport,iso_country,0.1,0.9,11,9,"{continent,local_code,scheduled_service}",3,0.3103768028474837,9,0,7,7,0,0.0732925586136595,0.3605605248386981,"[['e0'],['e1'],['e2'],['e3'],['e4'],['e5'],['e6']]","[0.073292558614,0.07131280389,0.071003307607,0.053053053053,0.034359805511,0.028996692393,0.028542303772]"
airport,iso_country,0.1,0.9,11,9,"{continent,local_code,type}",3,0.13744740604550032,4,5,4,4,0,0.053053053053053,0.1449518547277521,"[['e3'],['e4'],['e5'],['e6']]","[0.053053053053,0.034359805511,0.028996692393,0.028542303772]"
airport,iso_country,0.1,0.9,11,9,"{continent,local_code,wikipedia_link}",3,0.23397081181509072,7,2,5,5,0,0.0713128038897893,0.258725662453377,"[['e1'],['e2'],['e3'],['e4'],['e5']]","[0.07131280389,0.071003307607,0.053053053053,0.034359805511,0.028996692393]"
airport,iso_country,0.1,0.9,11,9,"{continent,municipality,scheduled_service}",3,0.3103768028474837,9,0,7,7,0,0.0732925586136595,0.3605605248386981,"[['e0'],['e1'],['e2'],['e3'],['e4'],['e5'],['e6']]","[0.073292558614,0.07131280389,0.071003307607,0.053053053053,0.034359805511,0.028996692393,0.028542303772]"
airport,iso_country,0.1,0.9,11,9,"{continent,municipality,type}",3,0.13744740604550032,4,5,4,4,0,0.053053053053053,0.1449518547277521,"[['e3'],['e4'],['e5'],['e6']]","[0.053053053053,0.034359805511,0.028996692393,0.028542303772]"
airport,iso_country,0.1,0.9,11,9,"{continent,municipality,wikipedia_link}",3,0.23397081181509072,7,2,5,5,0,0.0713128038897893,0.258725662453377,"[['e1'],['e2'],['e3'],['e4'],['e5']]","[0.07131280389,0.071003307607,0.053053053053,0.034359805511,0.028996692393]"
airport,iso_country,0.1,0.9,11,9,"{continent,scheduled_service,type}",3,0.13744740604550032,4,5,4,4,0,0.053053053053053,0.1449518547277521,"[['e3'],['e4'],['e5'],['e6']]","[0.053053053053,0.034359805511,0.028996692393,0.028542303772]"
airport,iso_country,0.1,0.9,11,9,"{continent,scheduled_service,wikipedia_link}",3,0.23397081181509072,7,2,5,5,0,0.0713128038897893,0.258725662453377,"[['e1'],['e2'],['e3'],['e4'],['e5']]","[0.07131280389,0.071003307607,0.053053053053,0.034359805511,0.028996692393]"
airport,iso_country,0.1,0.9,11,9,"{continent,type,wikipedia_link}",3,0.11210483245607117,3,6,3,3,0,0.053053053053053,0.11640955095609051,"[['e3'],['e4'],['e5']]","[0.053053053053,0.034359805511,0.028996692393]"
airport,iso_country,0.1,0.9,11,9,"{elevation_ft,gps_code,home_link}",3,0.27174040808101096,8,1,6,6,0,0.0732925586136595,0.30750747178564514,"[['e0'],['e1'],['e2'],['e4'],['e5'],['e6']]","[0.073292558614,0.07131280389,0.071003307607,0.034359805511,0.028996692393,0.028542303772]"
airport,iso_country,0.1,0.9,11,9,"{elevation_ft,gps_code,iata_code}",3,0.23550088922706203,7,2,5,5,0,0.0732925586136595,0.26056052483869824,"[['e0'],['e1'],['e3'],['e4'],['e6']]","[0.073292558614,0.07131280389,0.053053053053,0.034359805511,0.028542303772]"
airport,iso_country,0.1,0.9,11,9,"{elevation_ft,gps_code,keywords}",3,0.23099870911155784,7,2,5,5,0,0.0732925586136595,0.254887915438374,"[['e0'],['e2'],['e3'],['e5'],['e6']]","[0.073292558614,0.071003307607,0.053053053053,0.028996692393,0.028542303772]"
airport,iso_country,0.1,0.9,11,9,"{elevation_ft,gps_code,local_code}",3,0.3103768028474837,9,0,7,7,0,0.0732925586136595,0.3605605248386981,"[['e0'],['e1'],['e2'],['e3'],['e4'],['e5'],['e6']]","[0.073292558614,0.07131280389,0.071003307607,0.053053053053,0.034359805511,0.028996692393,0.028542303772]"
airport,iso_country,0.1,0.9,11,9,"{elevation_ft,gps_code,municipality}",3,0.3103768028474837,9,0,7,7,0,0.0732925586136595,0.3605605248386981,"[['e0'],['e1'],['e2'],['e3'],['e4'],['e5'],['e6']]","[0.073292558614,0.07131280389,0.071003307607,0.053053053053,0.034359805511,0.028996692393,0.028542303772]"
airport,iso_country,0.1,0.9,11,9,"{elevation_ft,gps_code,scheduled_service}",3,0.3103768028474837,9,0,7,7,0,0.0732925586136595,0.3605605248386981,"[['e0'],['e1'],['e2'],['e3'],['e4'],['e5'],['e6']]","[0.073292558614,0.07131280389,0.071003307607,0.053053053053,0.034359805511,0.028996692393,0.028542303772]"
airport,iso_country,0.1,0.9,11,9,"{elevation_ft,gps_code,type}",3,0.13744740604550032,6,3,4,4,0,0.053053053053053,0.1449518547277521,"[['e3'],['e4'],['e5'],['e6']]","[0.053053053053,0.034359805511,0.028996692393,0.028542303772]"
airport,iso_country,0.1,0.9,11,9,"{elevation_ft,gps_code,wikipedia_link}",3,0.23397081181509072,7,2,5,5,0,0.0713128038897893,0.258725662453377,"[['e1'],['e2'],['e3'],['e4'],['e5']]","[0.07131280389,0.071003307607,0.053053053053,0.034359805511,0.028996692393]"
airport,iso_country,0.1,0.9,11,9,"{elevation_ft,home_link,iata_code}",3,0.1926695436975,6,3,4,4,0,0.0732925586136595,0.20750747178564521,"[['e0'],['e1'],['e4'],['e6']]","[0.073292558614,0.07131280389,0.034359805511,0.028542303772]"
airport,iso_country,0.1,0.9,11,9,"{elevation_ft,home_link,keywords}",3,0.18791512727531334,6,3,4,4,0,0.0732925586136595,0.201834862385321,"[['e0'],['e2'],['e5'],['e6']]","[0.073292558614,0.071003307607,0.028996692393,0.028542303772]"
airport,iso_country,0.1,0.9,11,9,"{elevation_ft,home_link,local_code}",3,0.27174040808101096,8,1,6,6,0,0.0732925586136595,0.30750747178564514,"[['e0'],['e1'],['e2'],['e4'],['e5'],['e6']]","[0.073292558614,0.07131280389,0.071003307607,0.034359805511,0.028996692393,0.028542303772]"
airport,iso_country,0.1,0.9,11,9,"{elevation_ft,home_link,municipality}",3,0.27174040808101096,8,1,6,6,0,0.0732925586136595,0.30750747178564514,"[['e0'],['e1'],['e2'],['e4'],['e5'],['e6']]","[0.073292558614,0.07131280389,0.071003307607,0.034359805511,0.028996692393,0.028542303772]"
airport,iso_country,0.1,0.9,11,9,"{elevation_ft,home_link,scheduled_service}",3,0.27174040808101096,8,1,6,6,0,0.0732925586136595,0.30750747178564514,"[['e0'],['e1'],['e2'],['e4'],['e5'],['e6']]","[0.073292558614,0.07131280389,0.071003307607,0.034359805511,0.028996692393,0.028542303772]"
airport,iso_country,0.1,0.9,11,9,"{elevation_ft,home_link,type}",3,0.08912257784297561,4,5,3,3,0,0.0343598055105348,0.0918988016746991,"[['e4'],['e5'],['e6']]","[0.034359805511,0.028996692393,0.028542303772]"
airport,iso_country,0.1,0.9,11,9,"{elevation_ft,home_link,wikipedia_link}",3,0.19105374313242673,6,3,4,4,0,0.0713128038897893,0.205672609400324,"[['e1'],['e2'],['e4'],['e5']]","[0.07131280389,0.071003307607,0.034359805511,0.028996692393]"
airport,iso_country,0.1,0.9,11,9,"{elevation_ft,iata_code,keywords}",3,0.1475043103321887,5,4,3,3,0,0.0732925586136595,0.1548879154383741,"[['e0'],['e3'],['e6']]","[0.073292558614,0.053053053053,0.028542303772]"
airport,iso_country,0.1,0.9,11,9,"{elevation_ft,iata_code,local_code}",3,0.23550088922706203,7,2,5,5,0,0.0732925586136595,0.26056052483869824,"[['e0'],['e1'],['e3'],['e4'],['e6']]","[0.073292558614,0.07131280389,0.053053053053,0.034359805511,0.028542303772]"
airport,iso_country,0.1,0.9,11,9,"{elevation_ft,iata_code,municipality}",3,0.23550088922706203,7,2,5,5,0,0.0732925586136595,0.26056052483869824,"[['e0'],['e1'],['e3'],['e4'],['e6']]","[0.073292558614,0.07131280389,0.053053053053,0.034359805511,0.028542303772]"
airport,iso_country,0.1,0.9,11,9,"{elevation_ft,iata_code,scheduled_service}",3,0.23550088922706203,7,2,5,5,0,0.0732925586136595,0.26056052483869824,"[['e0'],['e1'],['e3'],['e4'],['e6']]","[0.073292558614,0.07131280389,0.053053053053,0.034359805511,0.028542303772]"
airport,iso_country,0.1,0.9,11,9,"{elevation_ft,iata_code,type}",3,0.11168933494182909,5,4,3,3,0,0.053053053053053,0.11595516233524941,"[['e3'],['e4'],['e6']]","[0.053053053053,0.034359805511,0.028542303772]"
