dataset,target_attr,tau,rho,zone_size,num_edges_after_tau,mask,mask_size,leakage,active_edges,blocked_edges,num_chains,active_chains,blocked_chains
airport,iso_country,0.1,0.9,6,0,{},0,0.0,0,0,0,0,0
airport,iso_country,0.1,0.9,6,0,{continent},1,0.0,0,0,0,0,0
airport,iso_country,0.1,0.9,6,0,{home_link},1,0.0,0,0,0,0,0
airport,iso_country,0.1,0.9,6,0,{keywords},1,0.0,0,0,0,0,0
airport,iso_country,0.1,0.9,6,0,{municipality},1,0.0,0,0,0,0,0
airport,iso_country,0.1,0.9,6,0,{scheduled_service},1,0.0,0,0,0,0,0
airport,iso_country,0.1,0.9,6,0,{type},1,0.0,0,0,0,0,0
airport,iso_country,0.1,0.9,6,0,"{continent,home_link}",2,0.0,0,0,0,0,0
airport,iso_country,0.1,0.9,6,0,"{continent,keywords}",2,0.0,0,0,0,0,0
airport,iso_country,0.1,0.9,6,0,"{continent,municipality}",2,0.0,0,0,0,0,0
airport,iso_country,0.1,0.9,6,0,"{continent,scheduled_service}",2,0.0,0,0,0,0,0
airport,iso_country,0.1,0.9,6,0,"{continent,type}",2,0.0,0,0,0,0,0
airport,iso_country,0.1,0.9,6,0,"{home_link,keywords}",2,0.0,0,0,0,0,0
airport,iso_country,0.1,0.9,6,0,"{home_link,municipality}",2,0.0,0,0,0,0,0
airport,iso_country,0.1,0.9,6,0,"{home_link,scheduled_service}",2,0.0,0,0,0,0,0
airport,iso_country,0.1,0.9,6,0,"{home_link,type}",2,0.0,0,0,0,0,0
airport,iso_country,0.1,0.9,6,0,"{keywords,municipality}",2,0.0,0,0,0,0,0
airport,iso_country,0.1,0.9,6,0,"{keywords,scheduled_service}",2,0.0,0,0,0,0,0
airport,iso_country,0.1,0.9,6,0,"{keywords,type}",2,0.0,0,0,0,0,0
airport,iso_country,0.1,0.9,6,0,"{municipality,scheduled_service}",2,0.0,0,0,0,0,0
airport,iso_country,0.1,0.9,6,0,"{municipality,type}",2,0.0,0,0,0,0,0
airport,iso_country,0.1,0.9,6,0,"{scheduled_service,type}",2,0.0,0,0,0,0,0
airport,iso_country,0.1,0.9,6,0,"{continent,home_link,keywords}",3,0.0,0,0,0,0,0
airport,iso_country,0.1,0.9,6,0,"{continent,home_link,municipality}",3,0.0,0,0,0,0,0
airport,iso_country,0.1,0.9,6,0,"{continent,home_link,scheduled_service}",3,0.0,0,0,0,0,0
airport,iso_country,0.1,0.9,6,0,"{continent,home_link,type}",3,0.0,0,0,0,0,0
airport,iso_country,0.1,0.9,6,0,"{continent,keywords,municipality}",3,0.0,0,0,0,0,0
airport,iso_country,0.1,0.9,6,0,"{continent,keywords,scheduled_service}",3,0.0,0,0,0,0,0
airport,iso_country,0.1,0.9,6,0,"{continent,keywords,type}",3,0.0,0,0,0,0,0
airport,iso_country,0.1,0.9,6,0,"{continent,municipality,scheduled_service}",3,0.0,0,0,0,0,0
airport,iso_country,0.1,0.9,6,0,"{continent,municipality,type}",3,0.0,0,0,0,0,0
airport,iso_country,0.1,0.9,6,0,"{continent,scheduled_service,type}",3,0.0,0,0,0,0,0
airport,iso_country,0.1,0.9,6,0,"{home_link,keywords,municipality}",3,0.0,0,0,0,0,0
airport,iso_country,0.1,0.9,6,0,"{home_link,keywords,scheduled_service}",3,0.0,0,0,0,0,0
airport,iso_country,0.1,0.9,6,0,"{home_link,keywords,type}",3,0.0,0,0,0,0,0
airport,iso_country,0.1,0.9,6,0,"{home_link,municipality,scheduled_service}",3,0.0,0,0,0,0,0
airport,iso_country,0.1,0.9,6,0,"{home_link,municipality,type}",3,0.0,0,0,0,0,0
airport,iso_country,0.1,0.9,6,0,"{home_link,scheduled_service,type}",3,0.0,0,0,0,0,0
