dataset,target_attr,tau,rho,zone_size,num_edges_after_tau,mask,mask_size,leakage,active_edges,blocked_edges,num_chains,active_chains,blocked_chains
hospital,EmergencyService,1.0,0.9,5,4,{},0,0.3993441740275051,4,0,2,2,0
hospital,EmergencyService,1.0,0.9,5,4,{Condition},1,0.2320160080040019,3,1,1,1,0
hospital,EmergencyService,1.0,0.9,5,4,{HospitalOwner},1,0.2320160080040019,3,1,1,1,0
hospital,EmergencyService,1.0,0.9,5,4,{HospitalType},1,0.23963879999707816,3,1,2,1,1
hospital,EmergencyService,1.0,0.9,5,4,{Sample},1,0.21787975760876943,3,1,1,1,0
hospital,EmergencyService,1.0,0.9,5,4,{State},1,0.3993441740275051,4,0,2,2,0
hospital,EmergencyService,1.0,0.9,5,4,"{Condition,HospitalOwner}",2,0.2320160080040019,3,1,1,1,0
hospital,EmergencyService,1.0,0.9,5,4,"{Condition,HospitalType}",2,0.034626364798773124,1,3,3,0,3
hospital,EmergencyService,1.0,0.9,5,4,"{Condition,Sample}",2,0.0,1,3,0,0,0
hospital,EmergencyService,1.0,0.9,5,4,"{Condition,State}",2,0.2320160080040019,3,1,1,1,0
hospital,EmergencyService,1.0,0.9,5,4,"{HospitalOwner,HospitalType}",2,0.05714281373550856,2,2,2,0,2
hospital,EmergencyService,1.0,0.9,5,4,"{HospitalOwner,Sample}",2,0.030161335088292218,2,2,1,0,1
hospital,EmergencyService,1.0,0.9,5,4,"{HospitalOwner,State}",2,0.2320160080040019,3,1,1,1,0
hospital,EmergencyService,1.0,0.9,5,4,"{HospitalType,Sample}",2,0.22070836316198117,2,2,2,1,1
hospital,EmergencyService,1.0,0.9,5,4,"{HospitalType,State}",2,0.21787975760876943,2,2,1,1,0
hospital,EmergencyService,1.0,0.9,5,4,"{Sample,State}",2,0.21787975760876943,3,1,1,1,0
hospital,EmergencyService,1.0,0.9,5,4,"{Condition,HospitalOwner,HospitalType}",3,0.03133655562529758,1,3,2,0,2
hospital,EmergencyService,1.0,0.9,5,4,"{Condition,HospitalOwner,Sample}",3,0.0,1,3,0,0,0
hospital,EmergencyService,1.0,0.9,5,4,"{Condition,HospitalOwner,State}",3,0.2320160080040019,3,1,1,1,0
hospital,EmergencyService,1.0,0.9,5,4,"{Condition,HospitalType,Sample}",3,0.0,1,3,0,0,0
hospital,EmergencyService,1.0,0.9,5,4,"{Condition,HospitalType,State}",3,0.0,0,4,0,0,0
hospital,EmergencyService,1.0,0.9,5,4,"{Condition,Sample,State}",3,0.0,1,3,0,0,0
hospital,EmergencyService,1.0,0.9,5,4,"{HospitalOwner,HospitalType,Sample}",3,0.0036165865552381105,1,3,1,0,1
hospital,EmergencyService,1.0,0.9,5,4,"{HospitalOwner,HospitalType,State}",3,0.033668840564561986,1,3,2,0,2
hospital,EmergencyService,1.0,0.9,5,4,"{HospitalOwner,Sample,State}",3,0.030161335088292218,2,2,1,0,1
hospital,EmergencyService,1.0,0.9,5,4,"{HospitalType,Sample,State}",3,0.21787975760876943,1,3,1,1,0
hospital,EmergencyService,1.0,0.9,5,4,"{Condition,HospitalOwner,HospitalType,Sample}",4,0.0,1,3,0,0,0
hospital,EmergencyService,1.0,0.9,5,4,"{Condition,HospitalOwner,HospitalType,State}",4,0.0,0,4,0,0,0
hospital,EmergencyService,1.0,0.9,5,4,"{Condition,HospitalOwner,Sample,State}",4,0.0,1,3,0,0,0
hospital,EmergencyService,1.0,0.9,5,4,"{Condition,HospitalType,Sample,State}",4,0.0,0,4,0,0,0
hospital,EmergencyService,1.0,0.9,5,4,"{HospitalOwner,HospitalType,Sample,State}",4,0.0,0,4,0,0,0
