dataset,lambda,leakage,utility,mask_size
flight,10,0.9826408586840785,-10.461538461538462,6
tax,10,0.2290091161470067,-0.6666666666666666,2
tax,10,0.3057912208405609,-10.333333333333334,1
tax,10,0.5548418449270073,-10.333333333333334,1
tax,10,0.5548418449270073,-10.666666666666666,2
tax,10,0.3057912208405609,-10.333333333333334,1
tax,10,0.3057912208405609,-10.333333333333334,1
tax,10,0.3057912208405609,-10.666666666666666,2
tax,10,0.3057912208405609,-10.333333333333334,1
tax,10,0.5548418449270073,-10.333333333333334,1
tax,10,0.3057912208405609,-10.333333333333334,1
tax,10,0.5548418449270073,-10.333333333333334,1
tax,10,0.5548418449270073,-10.333333333333334,1
tax,10,0.0,-1.0,3
tax,10,0.5548418449270073,-10.333333333333334,1
tax,10,0.5548418449270073,-10.666666666666666,2
tax,10,0.3057912208405609,-10.666666666666666,2
tax,10,0.5548418449270073,-10.666666666666666,2
tax,10,0.3057912208405609,-10.666666666666666,2
tax,10,0.5548418449270073,-10.333333333333334,1
tax,10,0.5548418449270073,-10.333333333333334,1
tax,10,0.3057912208405609,-10.333333333333334,1
tax,10,0.3057912208405609,-10.333333333333334,1
tax,10,0.2290091161470067,-0.6666666666666666,2
tax,10,0.5548418449270073,-10.333333333333334,1
tax,10,0.0,-1.0,3
tax,10,0.3057912208405609,-10.666666666666666,2
tax,10,0.3057912208405609,-10.666666666666666,2
tax,10,0.5548418449270073,-10.333333333333334,1
tax,10,0.0,-1.0,3
tax,10,0.5548418449270073,-10.666666666666666,2
tax,10,0.3057912208405609,-10.666666666666666,2
tax,10,0.5548418449270073,-10.0,0
tax,10,0.3057912208405609,-10.333333333333334,1
tax,10,0.5548418449270073,-10.0,0
tax,10,0.3057912208405609,-10.666666666666666,2
tax,10,0.0,-1.0,3
tax,10,0.3057912208405609,-10.666666666666666,2
tax,10,0.3057912208405609,-10.666666666666666,2
tax,10,0.5548418449270073,-10.0,0
tax,10,0.5548418449270073,-10.333333333333334,1
tax,10,0.3057912208405609,-10.333333333333334,1
tax,10,0.0,-1.0,3
tax,10,0.5548418449270073,-10.333333333333334,1
tax,10,0.5548418449270073,-10.666666666666666,2
